disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Gibraltar,2024,0,OWID
COVID_001,COVID-19,Greece,2020,0,OWID
COVID_001,COVID-19,Greece,2021,0,OWID
COVID_001,COVID-19,Greece,2022,0,OWID
COVID_001,COVID-19,Greece,2023,34711,OWID
COVID_001,COVID-19,Greece,2024,0,OWID
COVID_001,COVID-19,Greenland,2020,0,OWID
COVID_001,COVID-19,Greenland,2021,0,OWID
COVID_001,COVID-19,Greenland,2022,0,OWID
COVID_001,COVID-19,Greenland,2023,0,OWID
COVID_001,COVID-19,Greenland,2024,0,OWID
COVID_001,COVID-19,Grenada,2020,0,OWID
COVID_001,COVID-19,Grenada,2021,0,OWID
COVID_001,COVID-19,Grenada,2022,0,OWID
COVID_001,COVID-19,Grenada,2023,11,OWID
COVID_001,COVID-19,Grenada,2024,0,OWID
COVID_001,COVID-19,Guadeloupe,2020,0,OWID
COVID_001,COVID-19,Guadeloupe,2021,0,OWID
COVID_001,COVID-19,Guadeloupe,2022,0,OWID
COVID_001,COVID-19,Guadeloupe,2023,545,OWID
COVID_001,COVID-19,Guadeloupe,2024,0,OWID
COVID_001,COVID-19,Guam,2020,0,OWID
COVID_001,COVID-19,Guam,2021,0,OWID
COVID_001,COVID-19,Guam,2022,0,OWID
COVID_001,COVID-19,Guam,2023,64,OWID
COVID_001,COVID-19,Guam,2024,0,OWID
COVID_001,COVID-19,Guatemala,2020,0,OWID
COVID_001,COVID-19,Guatemala,2021,0,OWID
COVID_001,COVID-19,Guatemala,2022,0,OWID
COVID_001,COVID-19,Guatemala,2023,7736,OWID
COVID_001,COVID-19,Guatemala,2024,0,OWID
COVID_001,COVID-19,Guernsey,2020,0,OWID
COVID_001,COVID-19,Guernsey,2021,0,OWID
COVID_001,COVID-19,Guernsey,2022,0,OWID
COVID_001,COVID-19,Guernsey,2023,323,OWID
COVID_001,COVID-19,Guernsey,2024,0,OWID
COVID_001,COVID-19,Guinea,2020,0,OWID
COVID_001,COVID-19,Guinea,2021,0,OWID
COVID_001,COVID-19,Guinea,2022,0,OWID
COVID_001,COVID-19,Guinea,2023,13,OWID
COVID_001,COVID-19,Guinea,2024,0,OWID
COVID_001,COVID-19,Guinea-Bissau,2020,0,OWID
COVID_001,COVID-19,Guinea-Bissau,2021,0,OWID
COVID_001,COVID-19,Guinea-Bissau,2022,0,OWID
COVID_001,COVID-19,Guinea-Bissau,2023,0,OWID
COVID_001,COVID-19,Guinea-Bissau,2024,0,OWID
COVID_001,COVID-19,Guyana,2020,0,OWID
COVID_001,COVID-19,Guyana,2021,0,OWID
COVID_001,COVID-19,Guyana,2022,0,OWID
COVID_001,COVID-19,Guyana,2023,159,OWID
COVID_001,COVID-19,Guyana,2024,0,OWID
COVID_001,COVID-19,Haiti,2020,0,OWID
COVID_001,COVID-19,Haiti,2021,0,OWID
COVID_001,COVID-19,Haiti,2022,0,OWID
COVID_001,COVID-19,Haiti,2023,57,OWID
COVID_001,COVID-19,Haiti,2024,0,OWID
COVID_001,COVID-19,High-income countries,2020,1,OWID
COVID_001,COVID-19,High-income countries,2021,0,OWID
COVID_001,COVID-19,High-income countries,2022,0,OWID
COVID_001,COVID-19,High-income countries,2023,2635957,OWID
COVID_001,COVID-19,High-income countries,2024,0,OWID
